open,high,low,close,volume
3441.13,3671.26,3423.54,3565.5,1051881961.2
3565.5,3620.6,3406.12,3459.03,1190167810.84
3459.03,3483.93,3352.28,3400.67,1051010050.57
3400.67,3510.86,3381.19,3467.89,980539391.57
3467.89,3475.07,3283.44,3312.61,1018949329.43
3312.61,3338.33,3195.25,3243.71,1024257473.3
3243.71,3283.25,3176.44,3224.01,768757923.91
3224.01,3300.8,3220.57,3246.46,826198557.52
3246.46,3590.9,3242.51,3523.54,1089403885.93
3523.54,3690.9,3449.57,3669.99,1116117525.69
3669.99,3922.77,3643.83,3671.26,1294520354.93
3671.26,4130.82,3648.85,4065.5,1722685897.44
4065.5,4150.29,3776.33,3843.57,1198576500.11
3843.57,3971.93,3792.49,3951.79,824376730.37
3951.79,4024.98,3890.61,3939.36,969910688.73
3939.36,4202.6,3938.85,4017.38,1192236190.41
4017.38,4022.17,3660.98,3749.66,1049868938.55
3749.66,3834.97,3666.91,3785.19,843919805.62
3785.19,3816.06,3546.49,3574.79,827711933.02
3574.79,3881.2,3549.75,3842.29,892054366.83
3842.29,3882.88,3681.48,3692.16,822357120.99
3692.16,3824.23,3668.34,3802.31,769421327.59
3802.31,3806.06,3650.4,3701.45,731925771.55
3701.45,3802.7,3648.7,3797.48,626488118.32
3797.48,3883.4,3756.09,3860.63,884369398.01
3860.63,3863.07,3735.22,3766.14,603479615.67
3766.14,3820.4,3706.77,3792.34,750884554.53
3792.34,3837.14,3756.14,3773.52,694190993.86
3773.52,4021.86,3748.86,3990.2,741768994.41
3990.2,4014.99,3931.3,3977.32,788966484.5
3977.32,4057.2,3932.2,3956.8,788984816.9
3956.8,4002.04,3944.61,3965.31,775442280.52
3965.31,3994.13,3546.43,3587.51,1041527495.82
3587.51,3647.16,3544.15,3605.68,810485278.55
3605.68,3619.41,3549.58,3586.24,606846452.02
3586.24,3606.1,3455.28,3476.91,554479519.84
3476.91,3660.54,3469.96,3626.8,808663605.22
3626.8,3647.18,3530.44,3556.01,804303186.61
3556.01,3632.98,3547.28,3588.48,704815940.55
3588.48,3629.82,3539.81,3616.35,739053872.3
3616.35,3618.6,3571.18,3596.27,665333281.27
3596.27,3709.18,3595.97,3669.94,599119203.23
3669.94,3691.77,3487.09,3536.22,596404677.95
3536.22,3551.99,3497.08,3527.63,515411667.1
3527.63,3600.86,3448.75,3571.19,586304893.43
3571.19,3600.46,3521.47,3552.17,657382899.04
3552.17,3583.72,3530.65,3569.46,610814713.91
3569.46,3578.57,3530.8,3567.22,599059121.03
3567.22,3647.11,3550.98,3565.81,585552309.38
3565.81,3577.99,3501.63,3551.31,655556713.72
3551.31,3556.58,3387.83,3434.67,843424751.76
3434.67,3442.59,3359.69,3411.88,646576337.26
3411.88,3475.76,3389.79,3458.24,682975564.54
3458.24,3485.61,3421.81,3430.48,584613818.81
3430.48,3483.44,3406.07,3462.87,578695529.62
3462.87,3515.28,3441.4,3502.25,499763641.5
3502.25,3508.94,3429.07,3458.46,561381681.36
3458.46,3481.77,3435.29,3463.54,602042507.54
3463.54,3478.54,3449.37,3468.99,533671823.91
3468.99,3479.89,3388.07,3406.7,631739819.98
3406.7,3424.8,3392.38,3397.48,482216636.38
3397.48,3719.65,3381.55,3656.23,899123545.34
3656.23,3675.38,3632.27,3662.72,630095550.35
3662.72,3680.85,3613.38,3676.27,655163594.99
3676.27,3681.82,3617.37,3629.3,692483492.83
3629.3,3659.96,3590.08,3629.02,687234967.2
3629.02,3662.82,3594.81,3610.14,720004305.36
3610.14,3625.73,3578.83,3591.22,615009293.31
3591.22,3653.08,3578.53,3610.8,773411342.57
3610.8,3645.18,3599.86,3618.93,668561836.09
3618.93,3690.71,3607.31,3667.93,828167394.59
3667.93,3912.35,3659.66,3896.9,1223547097.46
3896.9,3992.98,3863.73,3912.42,1280652642.37
3912.42,3982.8,3878.9,3973.0,1093273504.44
3973.0,4007.6,3907.01,3937.63,995450449.1
3937.63,3984.77,3931.65,3965.16,911620579.64
3965.16,4155.65,3935.28,4118.76,1168571293.54
4118.76,4194.06,3722.4,3746.63,1426308030.63
3746.63,3869.53,3744.47,3828.38,1098211156.92
3828.38,3839.74,3787.97,3809.97,888292730.53
3809.97,3833.2,3710.56,3816.98,1024175479.64
3816.98,3873.17,3794.67,3814.34,1074514630.3
3814.34,3855.79,3813.49,3823.3,773192359.16
3823.3,3839.81,3784.32,3820.86,837450878.96
3820.86,3834.39,3787.47,3806.72,982739277.74
3806.72,3827.73,3676.15,3717.3,1379614473.5
3717.3,3874.88,3706.59,3857.01,1531374424.99
3857.01,3888.23,3819.18,3862.11,1197399866.59
3862.11,3903.46,3845.73,3873.87,1273963498.6
3873.87,3927.62,3818.12,3866.02,1399654315.93
3866.02,3966.3,3858.1,3942.32,1332077907.85
3942.32,3942.4,3890.12,3917.23,1159258455.15
3917.23,3933.82,3842.84,3870.45,1298546687.51
3870.45,3900.29,3816.82,3882.31,1148314774.47
3882.31,3890.94,3846.4,3866.26,1030714997.3
3866.26,3912.87,3822.33,3876.74,1020429457.38
3876.74,3933.75,3876.7,3924.47,1218664206.81
3924.47,4052.46,3923.19,4006.16,1204589386.6
4006.16,4006.92,3955.5,3982.66,867847017.61
3982.66,4032.99,3957.2,3987.93,1100757799.54
3987.93,4028.7,3971.44,4016.06,1103158602.69
4016.06,4045.35,3985.79,4041.86,1239590016.59
4041.86,4061.53,3919.43,3981.8,1456369286.52
3981.8,4004.19,3969.92,3989.6,1024195974.93
3989.6,4018.2,3979.9,4005.29,1086742893.34
4005.29,4005.3,3964.64,3991.18,995217812.59
3991.18,3998.46,3894.92,3935.91,1299842993.95
3935.91,3950.33,3898.66,3946.37,1070102378.12
3946.37,4046.49,3936.54,4039.38,1128789370.19
4039.38,4039.38,4006.39,4026.89,914587886.59
4026.89,4122.16,4024.69,4103.14,1129659258.22
4103.14,4139.37,4058.18,4107.32,954354680.76
4107.32,4117.13,4084.37,4103.92,892235652.27
4103.92,4156.41,4076.7,4144.18,1186833049.25
4144.18,4886.97,4141.33,4857.19,2370238440.35
4857.19,5269.03,4811.9,4943.01,3002622367.27
4943.01,5032.69,4784.85,4896.82,2418470482.74
4896.82,5024.87,4884.13,5003.79,1835495836.07
5003.79,5196.14,4940.8,5043.46,1791181492.87
5043.46,5213.44,5031.41,5170.11,1977033384.94
5170.11,5296.72,5049.15,5237.91,2145477257.78
5237.91,5238.73,5082.49,5151.96,1669473515.75
5151.96,5395.25,5137.91,5305.0,1812858421.91
5305.0,5330.31,4932.29,5017.08,1820113868.46
5017.08,5074.59,4884.87,5049.01,1507616578.75
5049.01,5089.62,5006.7,5047.32,1124652448.3
5047.32,5149.54,5005.11,5130.97,1108990191.23
5130.97,5166.13,4961.82,5029.59,1450667040.21
5029.59,5194.78,5008.2,5175.82,1277782178.88
5175.82,5223.17,5155.37,5202.35,1732647494.46
5202.35,5285.63,5199.85,5258.91,1451997787.07
5258.91,5309.21,5183.14,5257.75,1397929212.98
5257.75,5329.03,5236.89,5291.88,1418312293.41
5291.88,5311.68,5176.15,5259.59,1651110819.46
5259.59,5394.08,5102.8,5356.85,1819094535.11
5356.85,5585.57,5336.19,5496.21,1938058672.67
5496.21,5579.29,5344.69,5414.23,2120376435.09
5414.23,5485.46,5139.7,5217.93,2047058842.93
5217.93,5501.45,5166.34,5314.46,2302447131.92
5314.46,5339.13,5259.78,5291.15,1539764943.61
5294.14,5338.44,5267.8,5309.39,1577995697.48
5309.39,5330.36,5190.02,5236.3,1687710294.85
5236.3,5336.46,5194.24,5319.39,1492131710.71
5319.39,5396.23,5318.3,5385.86,1363370452.04
5385.86,5534.7,5369.83,5495.58,1656990908.69
5495.58,5840.95,5481.56,5769.8,2530626805.64
5769.8,5901.71,5603.33,5830.46,2253657730.86
5830.46,5837.47,5704.87,5774.03,1813913169.11
5774.03,5803.08,5627.16,5746.2,1726210974.98
5746.2,6019.77,5746.2,5846.4,2293412038.54
5846.4,6004.41,5795.0,5985.46,1868791631.04
5985.46,6202.66,5984.45,6186.96,2096647978.5
6186.96,6456.98,6152.12,6374.41,2377687806.26
6374.41,7368.54,6374.29,7188.75,3741001684.71
7188.75,7512.07,6778.68,6971.58,4206746511.64
6971.58,8090.0,6882.93,7803.07,3516692506.54
7803.07,8325.45,7663.45,7987.66,3999048346.77
7987.66,8245.01,7838.56,8170.68,3340162703.14
8170.68,8310.71,7725.72,7867.64,3616899970.41
7867.64,7919.27,6956.57,7358.05,4240120027.37
7358.05,7451.55,7196.47,7259.02,3039733527.42
7259.02,8275.36,7249.19,8157.69,3988133271.33
